question_id,category,question,correct_answer,wrong_answer,correct_first_tok_id,wrong_first_tok_id,top1_token_id,top1_token_decoded,top1_prob,entropy,surprise_on_correct_first_tok,surprise_on_wrong_first_tok,log_p_correct_over_p_wrong,top1_is_correct_first,top1_is_wrong_first
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens,12375,14927,686, will,0.8517600297927856,0.7672327160835266,7.269825458526611,18.605642318725586,11.335817337036133,False,False
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,434,60923,282, f,0.3446653485298157,2.0865330696105957,2.213618755340576,13.569087028503418,11.355467796325684,False,False
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley,9857,30347,3893, ge,0.7357443571090698,1.3274691104888916,7.236559867858887,14.826400756835938,7.589840888977051,False,False
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë,21475,28373,2014, To,0.4100995659828186,1.7979660034179688,2.664792776107788,10.856199264526367,8.19140625,False,False
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis,619,356,502, j,0.7841601371765137,1.1927814483642578,4.797829627990723,12.262673377990723,7.46484375,False,False
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,434,36748,282, f,0.4639938473701477,2.3585410118103027,5.111633777618408,12.58038330078125,7.46875,False,False
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa,38743,23381,55879, gab,0.2856159508228302,2.6434710025787354,5.534357070922852,11.065607070922852,5.53125,False,False
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote,32007,79836,4855, har,0.5036582946777344,1.1370667219161987,4.42023229598999,12.267888069152832,7.847655773162842,False,False
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne,60238,60809,3019, step,0.5184991955757141,1.9707812070846558,4.5083794593811035,12.922441482543945,8.4140625,False,False
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker,89302,29405,8766, ton,0.30675065517425537,2.961308240890503,2.400470018386841,10.568438529968262,8.16796875,False,False
10,geography,What is the capital of France?,Paris,Lyon,12095,55201,576, The,0.6391477584838867,0.9042977094650269,1.1351195573806763,12.775744438171387,11.640625,False,False
11,geography,What is the capital of Australia?,Canberra,Sydney,68790,21273,576, The,0.5637282133102417,1.4563298225402832,1.3856830596923828,4.276308059692383,2.890625,False,False
12,geography,What is the capital of Brazil?,Brasília,Rio de Janeiro,61124,26961,576, The,0.49587100744247437,1.4583290815353394,1.4045644998550415,5.701439380645752,4.296875,False,False
13,geography,What is the capital of Canada?,Ottawa,Toronto,32166,14632,32166, Ottawa,0.6609289646148682,1.1073381900787354,0.41410890221595764,5.375046253204346,4.9609375,True,False
14,geography,What is the capital of Egypt?,Cairo,Alexandria,52550,56133,576, The,0.6681236624717712,1.2140518426895142,1.5282820463180542,5.731407165527344,4.203125,False,False
15,geography,What is the capital of South Korea?,Seoul,Busan,50189,18598,50189, Seoul,0.4200919568538666,1.3950386047363281,0.8672816753387451,8.187594413757324,7.3203125,True,False
16,geography,What is the capital of Argentina?,Buenos Aires,Córdoba,68073,129016,68073, Buenos,0.4880763292312622,1.1354150772094727,0.7172834873199463,11.412595748901367,10.6953125,True,False
17,geography,What is the capital of Turkey?,Ankara,Istanbul,70244,53368,70244, Ankara,0.2803148925304413,2.1913561820983887,1.2718416452407837,4.467154026031494,3.1953125,True,False
18,geography,What is the capital of Switzerland?,Bern,Zurich,14168,71726,89263, bern,0.34335076808929443,1.5900392532348633,1.256502628326416,7.303377628326416,6.046875,False,False
19,geography,What is the capital of South Africa (executive)?,Pretoria,Cape Town,61939,28615,64292, cape,0.7550238370895386,1.202646255493164,3.757568359375,5.710693359375,1.9531251192092896,False,False
20,history,Who was the first President of the United States?,George Washington,Thomas Jefferson,9857,11108,576, The,0.9026293754577637,0.47043588757514954,2.977443218231201,10.289942741394043,7.3125,False,False
21,history,Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,65386,44406,576, The,0.9206194281578064,0.5016404390335083,4.207708358764648,13.117864608764648,8.91015625,False,False
22,history,Who composed the Fifth Symphony famous for its da-da-da-DUM motif?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,84450,86498,2014, To,0.4706610143184662,2.1145706176757812,5.323929786682129,15.259471893310547,9.935543060302734,False,False
23,history,Who developed the theory of general relativity?,Albert Einstein,Isaac Newton,17513,41508,452, al,0.6429592967033386,1.4666409492492676,5.199486255645752,13.136985778808594,7.937499523162842,False,False
24,history,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,32016,16465,32016, Marie,0.5420376062393188,1.5735067129135132,0.6124199032783508,11.780388832092285,11.16796875,True,False
25,history,Who led non-violent civil disobedience against British rule in India?,Mahatma Gandhi,Jawaharlal Nehru,16171,33194,342, g,0.452449768781662,1.726141095161438,3.5899534225463867,8.816515922546387,5.2265625,False,False
26,history,Who was the first emperor of unified China?,Qin Shi Huang,Han Wudi,73351,20644,576, The,0.7886844873428345,1.0299043655395508,3.706139087677002,11.194419860839844,7.48828125,False,False
27,history,Who painted 'The Starry Night'?,Vincent van Gogh,Claude Monet,34307,74330,5242, van,0.3673593997955322,1.776432991027832,5.071727275848389,13.05610179901123,7.984374523162842,False,False
28,history,Who wrote 'The Origin of Species'?,Charles Darwin,Alfred Russel Wallace,14927,41492,1161, char,0.866706907749176,0.6433406472206116,5.947741985321045,15.691876411437988,9.744133949279785,False,False
29,history,Who was the longest-reigning British monarch as of 2024?,Elizabeth II,Victoria,20731,22417,16259, Queen,0.3621511161327362,1.5501588582992554,1.4844436645507812,9.898506164550781,8.4140625,False,False
30,science,What is the chemical symbol for gold?,Au,Ag,32050,4598,32050, Au,0.8461229801177979,0.670321524143219,0.16709056496620178,12.40927791595459,12.2421875,True,False
31,science,What is the chemical symbol for sodium?,Na,So,12812,2055,12812, Na,0.7548670172691345,0.8577768802642822,0.2812136709690094,9.695276260375977,9.4140625,True,False
32,science,What planet is known as the Red Planet?,Mars,Jupiter,21048,49689,47349, mars,0.982295036315918,0.12817814946174622,7.877238750457764,16.260040283203125,8.382801055908203,False,False
33,science,What is the largest planet in our solar system?,Jupiter,Saturn,49689,49153,502, j,0.43530744314193726,1.2151466608047485,0.9254526495933533,5.847327709197998,4.921875,False,False
34,science,What is the speed of light approximately (in meters per second)?,"300,000,000","150,000,000",220,220,576, The,0.45895782113075256,1.3076577186584473,0.8412969708442688,0.8412969708442688,0.0,False,False
35,science,What gas do plants primarily absorb during photosynthesis?,Carbon dioxide,Oxygen,21487,86569,12499, carbon,0.8474477529525757,0.7404959201812744,3.6186511516571045,5.056150913238525,1.4375,False,False
36,science,What is the powerhouse of the cell?,Mitochondria,Nucleus,21766,451,576, The,0.5182677507400513,1.7863932847976685,1.3916383981704712,6.758825778961182,5.3671875,False,False
37,science,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,49516,86569,46403, nitrogen,0.8826947808265686,0.6152969598770142,3.7185258865356445,8.327900886535645,4.609375,False,False
38,science,What is the hardest naturally occurring substance on Earth?,Diamond,Quartz,24334,65088,22205, diamond,0.9167342782020569,0.5037372708320618,4.11037540435791,13.418968200683594,9.308592796325684,False,False
39,science,Which element has the atomic number 1?,Hydrogen,Helium,39502,15806,34684, hydrogen,0.779468834400177,0.6382958889007568,4.702267646789551,13.108516693115234,8.40625,False,False
40,geography2,What is the longest river in the world?,Nile,Amazon,76190,8176,576, The,0.5905227661132812,1.6462018489837646,1.8079971075057983,6.745497226715088,4.9375,False,False
41,geography2,What is the highest mountain in the world?,Mount Everest,K2,10423,730,10423, Mount,0.7897822260856628,0.9366325736045837,0.2359980344772339,11.622716903686523,11.38671875,True,False
42,geography2,What is the largest ocean on Earth?,Pacific,Atlantic,16462,22375,576, The,0.4232359230518341,1.4499367475509644,3.766075611114502,6.719200611114502,2.953125,False,False
43,geography2,What desert is located in northern Africa?,Sahara,Gobi,87978,479,279, the,0.6264106631278992,1.6136037111282349,8.405248641967773,14.55759048461914,6.152341842651367,False,False
