pair_id,category,question,correct_answer,wrong_answer,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens, YES, NO,11.243817329406738,8.124479293823242,0.6916978657245636,0.989524254687575,3.099906136493698,0.9996760487556458,0.020841749384999275,14080,5664,False,0.9996787309646606,0.9998787641525269
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway, YES, NO,10.248066902160645,9.373798370361328,0.6924857795238495,0.9923759463590186,3.1112115230029644,0.9998592138290405,0.01518998108804226,14080,5664,False,0.9998877048492432,0.9998906850814819
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley, YES, NO,9.995329856872559,8.374143600463867,0.6918022334575653,0.9889686958446651,3.09770729473357,0.9997066855430603,0.021940918639302254,14080,5664,False,0.9997299313545227,0.9999145269393921
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë, YES, NO,7.867836952209473,7.868521213531494,0.6897105276584625,0.9802686232475029,3.0634259024711996,0.9991718530654907,0.03907342627644539,14080,5664,False,0.9993888139724731,0.9995315074920654
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis, YES, NO,9.24580192565918,8.497198104858398,0.6916418671607971,0.9878566898642938,3.093309643157221,0.9996616840362549,0.02413916029036045,14080,5664,False,0.9996699094772339,0.9996845722198486
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy, YES, NO,4.01638126373291,8.747937202453613,0.6473136246204376,0.9245939004470992,2.8503117734701076,0.9818792343139648,0.1451261192560196,14080,5664,False,0.9998606443405151,0.9819796085357666
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa, YES, NO,5.87445068359375,8.456380844116211,0.6825105249881744,0.9658078114748726,3.007060680858826,0.9969576001167297,0.06721527129411697,14080,5664,False,0.999742329120636,0.9970802664756775
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote, YES, NO,6.247522354125977,8.2195463180542,0.684904932975769,0.9694823988196649,3.021312404315265,0.9977633357048035,0.0601038783788681,14080,5664,False,0.9996649026870728,0.9979429841041565
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne, YES, NO,7.993447303771973,7.869304656982422,0.6899167597293854,0.9808925837246827,3.0658750889929665,0.9992423057556152,0.03784973919391632,14080,5664,False,0.9995457530021667,0.9996013641357422
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker, YES, NO,9.74183464050293,7.748509883880615,0.690909206867218,0.9856738630500036,3.084690905959313,0.9994771480560303,0.02844703570008278,14080,5664,False,0.9995163679122925,0.9996856451034546
10,geography,What is the capital of France?,Paris,Lyon, YES, NO,8.593460083007812,6.496466636657715,0.6862615644931793,0.9732988793085051,3.0361652515101016,0.9978564977645874,0.052689291536808014,14080,5664,False,0.9968960285186768,0.998612642288208
11,geography,What is the capital of Australia?,Canberra,Sydney, YES, NO,3.520970582962036,6.903041362762451,0.6234290897846222,0.8957296697756605,2.743635103994424,0.9697360992431641,0.19766835868358612,14080,5664,False,0.9985892176628113,0.9697091579437256
